Year of Date,Party,Count of Duration (Seconds)
2012,republican,1098
2008,republican,713
2004,republican,844
2000,republican,560
1996,republican,61
1992,republican,18
1988,republican,51
1984,republican,49
1980,republican,65
1976,republican,24
2012,democrat,2165
2008,democrat,1571
2004,democrat,826
2000,democrat,624
1996,democrat,310
1992,democrat,49
1988,democrat,20
1980,democrat,4
1976,democrat,28
